5.469260, 2.493158, 3.350056
5.004980, 2.425646, 3.528228
4.522041, 2.336289, 3.700601
4.023760, 2.226399, 3.866962
3.513606, 2.097524, 4.027103
2.995176, 1.951425, 4.180828
2.472170, 1.790061, 4.327954
1.948368, 1.615567, 4.468303
1.427598, 1.430231, 4.601712
0.913713, 1.236472, 4.728027
0.410563, 1.036810, 4.847105
-0.078038, 0.833844, 4.958816
-0.548333, 0.630219, 5.063038
-0.996655, 0.428603, 5.159664
-1.419455, 0.231654, 5.248597
-1.813325, 0.041993, 5.329751
-2.175026, -0.137826, 5.403053
-2.501517, -0.305341, 5.468440
-2.789973, -0.458212, 5.525864
-3.037812, -0.594245, 5.575285
-3.242715, -0.711417, 5.616677
-3.402646, -0.807902, 5.650026
-3.515868, -0.882087, 5.675329
-3.580960, -0.932592, 5.692595
-3.596832, -0.958292, 5.701845
-3.562733, -0.958322, 5.703111
-3.478264, -0.932097, 5.696436
-3.343379, -0.879315, 5.681876
-3.158397, -0.799967, 5.659496
-2.923995, -0.694334, 5.629375
-2.641214, -0.562994, 5.591599
-2.311452, -0.406815, 5.546269
-1.936457, -0.226948, 5.493492
-1.518323, -0.024820, 5.433390
-1.059474, 0.197876, 5.366090
-0.562652, 0.439201, 5.291733
-0.030905, 0.696982, 5.210467
0.532438, 0.968833, 5.122451
1.123782, 1.252180, 5.027852
1.739290, 1.544278, 4.926844
2.374906, 1.842244, 4.819614
3.026381, 2.143079, 4.706352
3.689303, 2.443699, 4.587258
4.359121, 2.740964, 4.462540
5.031177, 3.031709, 4.332412
5.700738, 3.312772, 4.197095
6.363024, 3.581028, 4.056816
7.013243, 3.833419, 3.911809
7.646623, 4.066981, 3.762311
8.258440, 4.278878, 3.608566
8.844057, 4.466429, 3.450824
9.398949, 4.627132, 3.289337
9.918740, 4.758695, 3.124361
10.399228, 4.859053, 2.956157
10.836418, 4.926395, 2.784989
11.226550, 4.959182, 2.611123
11.566123, 4.956160, 2.434827
11.851921, 4.916378, 2.256371
12.081038, 4.839200, 2.076027
12.250898, 4.724307, 1.894068
12.359273, 4.571711, 1.710768
12.404301, 4.381750, 1.526400
12.384501, 4.155090, 1.341236
12.298783, 3.892722, 1.155551
12.146462, 3.595954, 0.969616
11.927256, 3.266398, 0.783700
11.641300, 2.905963, 0.598073
11.289142, 2.516834, 0.413000
10.871740, 2.101458, 0.228746
10.390461, 1.662517, 0.045570
9.847076, 1.202914, -0.136271
9.243744, 0.725739, -0.316522
8.583005, 0.234246, -0.494936
7.867762, -0.268174, -0.671266
7.101268, -0.778025, -0.845273
6.287101, -1.291737, -1.016723
5.429147, -1.805695, -1.185386
4.531574, -2.316274, -1.351039
3.598804, -2.819868, -1.513464
2.635490, -3.312924, -1.672450
1.646486, -3.791969, -1.827793
0.636814, -4.253648, -1.979296
-0.388365, -4.694745, -2.126769
-1.423785, -5.112216, -2.270029
-2.464107, -5.503212, -2.408900
-3.503951, -5.865108, -2.543216
-4.537935, -6.195518, -2.672818
-5.560702, -6.492321, -2.797554
-6.566959, -6.753677, -2.917284
-7.551508, -6.978038, -3.031872
-8.509278, -7.164165, -3.141195
-9.435359, -7.311133, -3.245136
-10.325029, -7.418339, -3.343588
-11.173787, -7.485503, -3.436454
-11.977379, -7.512671, -3.523644
-12.731821, -7.500206, -3.605080
-13.433430, -7.448790, -3.680691
-14.078841, -7.359406, -3.750418
-14.665027, -7.233333, -3.814208
-15.189322, -7.072125, -3.872020
-15.649427, -6.877601, -3.923821
-16.043433, -6.651820, -3.969590
-16.369825, -6.397058, -4.009311
-16.627490, -6.115790, -4.042981
-16.815723, -5.810660, -4.070605
-16.934232, -5.484456, -4.092197
-16.983130, -5.140081, -4.107781
-16.962940, -4.780524, -4.117388
-16.874583, -4.408833, -4.121059
-16.719372, -4.028080, -4.118846
-16.499001, -3.641336, -4.110805
